total_revenue,operating_income,interest_expense_non_operating,pretax_income,income_taxes,net_income,diluted_shares_outstanding,date,symbol,ebit,ebitda,gross_income,total_assets,cash_only,total_liabilities,total_debt,total_equity,stockholders_equity,total_current_liabilities,cash_and_short_term_investments,total_cash_and_due_from_banks,total_non_current_assets,net_operating_cash_flow,free_cash_flow
3790000000000.0,-169620000000.0,-83770000000.0,-292610000000.0,-6210000000.0,-298820000000.0,2500000000.0,2020-12-31,POLY.JK,-169620000000,-95430000000,146390000000,3250000000000.0,167080000000.0,16770000000000.0,15450000000000.0,-13530000000000.0,-13530000000000.0,15690000000000,169070000000,,1540000000000,195960000000.0,112780000000.0
5330000000000.0,59900000000.0,-83650000000.0,97900000000.0,-48950000000.0,48950000000.0,2500000000.0,2021-12-31,POLY.JK,59900000000,126090000000,519110000000,3400000000000.0,99320000000.0,17030000000000.0,15680000000000.0,-13640000000000.0,-13640000000000.0,15940000000000,101320000000,,1609999999999,-25540000000.0,-142420000000.0
5900000000000.0,58420000000.0,-88660000000.0,189290000000.0,-6400000000.0,182890000000.0,2500000000.0,2022-12-31,POLY.JK,58420000000,134419999999,484460000000,3550000000000.0,123330000000.0,18250000000000.0,16899999999999.0,-14700000000000.0,-14700000000000.0,17070000000000,123330000000,,1720000000000,97340000000.0,72550000000.0
4440000000000.0,-286540000000.0,-73550000000.0,-342490000000.0,171700000000.0,-170790000000.0,2500000000.0,2023-12-31,POLY.JK,-286540000000,-199470000000,28480000000,3250000000000.0,90900000000.0,17960000000000.0,16700000000000.0,-14710000000000.0,-14710000000000.0,16930000000000,90900000000,,1650000000000,33650000000.0,17250000000.0
330740000000.0,36970000000.0,-6300000000.0,30580000000.0,-8270000000.0,22310000000.0,1880000000.0,2019-12-31,FWCT.JK,36970000000,44070000000,70010000000,221170000000.0,24940000000.0,127640000000.0,82360000000.0,93530000000.0,93530000000.0,66910000000,24940000000,,142440000000,29430000000.0,-50370000000.0
432610000000.0,38500000000.0,-7920000000.0,40370000000.0,-9300000000.0,31060000000.0,1880000000.0,2020-12-31,FWCT.JK,38500000000,48650000000,77140000000,236840000000.0,19050000000.0,112270000000.0,67340000000.0,124570000000.0,124570000000.0,69220000000,19050000000,,175120000000,34220000000.0,6370000000.0
667380000000.0,85500000000.0,-5870000000.0,86190000000.0,-20140000000.0,66050000000.0,1880000000.0,2021-12-31,FWCT.JK,85500000000,98160000000,139180000000,347500000000.0,21030000000.0,156740000000.0,75400000000.0,190760000000.0,190760000000.0,101820000000,21030000000,,223720000000,63940000000.0,-4340000000.0
844980000000.0,20330000000.0,-11210000000.0,20530000000.0,-5910000000.0,14610000000.0,1880000000.0,2022-12-31,FWCT.JK,20330000000,36930000000,78550000000,474910000000.0,38100000000.0,269470000000.0,172490000000.0,205430000000.0,205420000000.0,139250000000,38100000000,,305740000000,-13000000000.0,-89870000000.0
948360000000.0,72310000000.0,-17850000000.0,53550000000.0,-12090000000.0,41460000000.0,1839999999.0,2023-12-31,FWCT.JK,72310000000,91740000000,130530000000,567320000000.0,58850000000.0,282830000000.0,200210000000.0,284490000000.0,284470000000.0,138530000000,58850000000,,332000000000,-1080000000.0,-35800000000.0
115940000000.0,78650000000.0,-3230000000.0,73180000000.0,-9670000000.0,63510000000.0,550000000.0,2019-12-31,GHON.JK,78650000000,82960000000,93020000000,740430000000.0,14030000000.0,139120000000.0,75350000000.0,601310000000.0,601300000000.0,62830000000,14030000000,,706090000000,98000000000.0,-8870000000.0
