total_revenue,gross_income,operating_income,interest_expense_non_operating,pretax_income,income_taxes,net_income,diluted_shares_outstanding,ebitda,ebit,date,symbol,total_assets,cash_and_short_term_investments,cash_only,total_non_current_assets,total_liabilities,total_current_liabilities,total_equity,stockholders_equity,total_debt,total_cash_and_due_from_banks,net_operating_cash_flow,free_cash_flow
84130000000.0,25500000000,14510000000.0,-6360000000,7939999999.0,-2820000000.0,5120000000.0,781250000.0,23200000000,14510000000,2019-12-31,FLMC.JK,115720000000.0,619440000,619440000.0,89010000000,104260000000.0,86150000000,11460000000.0,11460000000.0,54560000000.0,,12220000000.0,6260000000.0
91170000000.0,30030000000,17610000000.0,-6730000000,10660000000.0,-3190000000.0,7470000000.0,781250000.0,27250000000,17610000000,2020-12-31,FLMC.JK,117260000000.0,386100000,386100000.0,90520000000,83580000000.0,65569999999,33670000000.0,33670000000.0,53760000000.0,,14780000000.0,-2150000000.0
49210000000.0,5220000000,-44820000000.0,-8620000000,-54720000000.0,-1090000000.0,-55800000000.0,703550000.0,-33610000000,-44820000000,2021-12-31,FLMC.JK,196910000000.0,73760000,73760000.0,180140000000,101480000000.0,85260000000,95430000000.0,95430000000.0,53880000000.0,,-30010000000.0,-37260000000.0
58040000000.0,9040000000,-8900000000.0,-5880000000,-18910000000.0,694060000.0,-18220000000.0,781250000.0,3020000000,-8900000000,2022-12-31,FLMC.JK,184080000000.0,138790000,138790000.0,166450000000,106680000000.0,99100000000,77400000000.0,77400000000.0,6880000000.0,,12260000000.0,11040000000.0
46080000000.0,4710000000,16940000000.0,-2860000000,6500000000.0,378880000.0,6880000000.0,781250000.0,28320000000,16940000000,2023-12-31,FLMC.JK,185150000000.0,17560000000,17560000000.0,155690000000,100450000000.0,93620000000,84710000000.0,84710000000.0,2910000000.0,,18060000000.0,17920000000.0
162600000000.0,52880000000,46170000000.0,-34030000000,12460000000.0,-4350000000.0,8109999999.0,2540000000.0,100930000000,46170000000,2019-12-31,BPTR.JK,536130000000.0,3360000000,912100000.0,495860000000,317640000000.0,165750000000,218490000000.0,218490000000.0,303580000000.0,,49060000000.0,32619999999.0
162260000000.0,42670000000,36980000000.0,-26980000000,6250000000.0,-3130000000.0,3120000000.0,2540000000.0,89760000000,36980000000,2020-12-31,BPTR.JK,536299999999.0,1020000000,1020000000.0,503360000000,311840000000.0,150770000000,224470000000.0,224470000000.0,284040000000.0,,71220000000.0,63780000000.0
212040000000.0,62440000000,54930000000.0,-37910000000,17149999999.0,-5760000000.0,11390000000.0,2540000000.0,123560000000,54930000000,2021-12-31,BPTR.JK,816740000000.0,1250000000,1250000000.0,765560000000,572020000000.0,159850000000,244720000000.0,244720000000.0,545909999999.0,,70730000000.0,-31370000000.0
333910000000.0,106380000000,92750000000.0,-63290000000,28760000000.0,-10650000000.0,18110000000.0,2540000000.0,204220000000,92750000000,2022-12-31,BPTR.JK,1240000000000.0,26810000000,26810000000.0,1150000000000,976750000000.0,239880000000,266940000000.0,266940000000.0,893760000000.0,,160210000000.0,-54350000000.0
441460000000.0,126360000000,113110000000.0,-67590000000,46730000000.0,-19540000000.0,27190000000.0,3480000000.0,262339999999,113110000000,2023-12-31,BPTR.JK,1530000000000.0,142230000000,142230000000.0,1320000000000,1030000000000.0,314740000000,500930000000.0,500930000000.0,939030000000.0,,195210000000.0,-201860000000.0
8260000000000.0,277510000000,179500000000.0,-111380000000,112530000000.0,-28650000000.0,83870000000.0,734680000.0,198330000000,179500000000,2019-12-31,TBMS.JK,2140000000000.0,96700000000,96700000000.0,552830000000,1470000000000.0,1470000000000,664570000000.0,664570000000.0,674200000000.0,,175600000000.0,157990000000.0
6560000000000.0,210850000000,130530000000.0,-31890000000,84190000000.0,-18690000000.0,65500000000.0,734680000.0,148370000000,130530000000,2020-12-31,TBMS.JK,2200000000000.0,537250000000,537250000000.0,423920000000,1480000000000.0,1480000000000,722460000000.0,722460000000.0,697370000000.0,,434320000000.0,420470000000.0
