total_revenue,operating_income,interest_expense_non_operating,pretax_income,income_taxes,net_income,diluted_shares_outstanding,date,symbol,ebit,ebitda,gross_income,total_assets,cash_only,total_liabilities,total_debt,total_equity,stockholders_equity,total_current_liabilities,cash_and_short_term_investments,total_cash_and_due_from_banks,total_non_current_assets,net_operating_cash_flow,free_cash_flow
492940000000,71950000000,-10130000000.0,67260000000,-15810000000,51440000000,781250000,2024-06-30,PNGO.JK,71950000000,88250000000,119880000000,1569999999999.0,31000000000.0,665240000000.0,521260000000.0,906640000000.0,903390000000.0,279670000000,31000000000,,1180000000000,25640000000,-10200000000.0
29070000000,11320000000,,9690000000,-2920000000,6760000000,1440000000,2022-12-31,ROCK.JK,11320000000,19960000000,,1040000000000.0,47690000000.0,267860000000.0,66069999999.0,768430000000.0,768520000000.0,,47690000000,,,20120000000,19210000000.0
26220000000,9300000000,,7240000000,-2800000000,4440000000,1440000000,2023-03-31,ROCK.JK,9300000000,17930000000,,1040000000000.0,59880000000.0,266040000000.0,61070000000.0,772870000000.0,772950000000.0,,59880000000,,,13850000000,13850000000.0
24400000000,1620000000,,-473440000,-2490000000,-2960000000,1440000000,2023-06-30,ROCK.JK,1620000000,10210000000,,1040000000000.0,63440000000.0,268279999999.0,56040000000.0,769900000000.0,769990000000.0,,63440000000,,,9090000000,9090000000.0
27740000000,10430000000,,9840000000,-2450000000,7390000000,1440000000,2023-09-30,ROCK.JK,10430000000,19010000000,,993410000000.0,21830000000.0,216110000000.0,51010000000.0,777300000000.0,777380000000.0,,21830000000,,,13390000000,13350000000.0
28560000000,6540000000,,5870000000,-3020000000,2850000000,1470000000,2023-12-31,ROCK.JK,6540000000,15190000000,,979580000000.0,20960000000.0,187480000000.0,119260000000.0,792100000000.0,792190000000.0,,20960000000,,,18370000000,18090000000.0
30740000000,13940000000,,13350000000,-2630000000,10720000000,1440000000,2024-03-31,ROCK.JK,13940000000,22730000000,,971230000000.0,15220000000.0,168410000000.0,101040000000.0,802820000000.0,802910000000.0,,15220000000,,,12740000000,12500000000.0
29830000000,10930000000,,10260000000,-2610000000,7650000000,1440000000,2024-06-30,ROCK.JK,10930000000,19750000000,,968230000000.0,20170000000.0,157760000000.0,95860000000.0,810470000000.0,810560000000.0,,20170000000,,,10210000000,10140000000.0
1260000000000,-50520000000,-2270000000.0,-15910000000,-14640000000,-30560000000,2500000000,2022-12-31,POLY.JK,-50520000000,-28560000000,32540000000,3550000000000.0,123330000000.0,18250000000000.0,16899999999999.0,-14700000000000.0,-14700000000000.0,17070000000000,123330000000,,1720000000000,75980000000,86650000000.0
1330000000000,-30970000000,-27630000000.0,-143540000000,-19500000000,-163040000000,2500000000,2023-03-31,POLY.JK,-30970000000,-13520000000,52350000000,3430000000000.0,87130000000.0,17760000000000.0,16329999999999.0,-14320000000000.0,-14320000000000.0,16620000000000,87130000000,,1640000000000,-30290000000,-31160000000.0
1030000000000,-93960000000,-10660000000.0,-59390000000,4110000000,-55270000000,2500000000,2023-06-30,POLY.JK,-93960000000,-74820000000,5030000000,3350000000000.0,86710000000.0,17720000000000.0,16320000000000.0,-14380000000000.0,-14380000000000.0,16590000000000,86710000000,,1620000000000,6910000000,4290000000.0
1090000000000,-76310000000,-19890000000.0,-60570000000,35820000000,-24750000000,2500000000,2023-09-30,POLY.JK,-76310000000,-57200000000,-8150000000,3300000000000.0,111420000000.0,18140000000000.0,16770000000000.0,-14840000000000.0,-14840000000000.0,16969999999999,111420000000,,1680000000000,19760000000,18780000000.0
979520000000,-82340000000,-15450000000.0,-79350000000,155030000000,75680000000,2500000000,2023-12-31,POLY.JK,-82340000000,-50680000000,-21440000000,3250000000000.0,90900000000.0,17960000000000.0,16700000000000.0,-14710000000000.0,-14710000000000.0,16930000000000,90900000000,,1650000000000,37270000000,25340000000.0
1020000000000,-37240000000,-19910000000.0,7730000000,3030000000,10760000000,2500000000,2024-03-31,POLY.JK,-37240000000,-16969999999,34360000000,3300000000000.0,128960000000.0,18430000000000.0,17149999999999.0,-15130000000000.0,-15130000000000.0,17360000000000,128960000000,,1680000000000,40680000000,40680000000.0
841410000000,-99240000000,-16480000000.0,-47190000000,1370000000,-45820000000,2500000000,2024-06-30,POLY.JK,-99240000000,-78280000000,-25670000000,3180000000000.0,97930000000.0,18860000000000.0,17610000000000.0,-15680000000000.0,-15680000000000.0,17760000000000,97930000000,,1710000000000,-28140000000,-28170000000.0
207370000000,5520000000,-2990000000.0,2660000000,-1240000000,1420000000,1880000000,2022-09-30,FWCT.JK,5520000000,10380000000,19560000000,,,,,,,,,,,-68010000000,-81590000000.0
174920000000,-6180000000,-4260000000.0,-11870000000,-383520000,-12250000000,1880000000,2023-03-31,FWCT.JK,-6180000000,-1310000000,6900000000,509500000000.0,65230000000.0,274890000000.0,187720000000.0,234610000000.0,234590000000.0,148620000000.0,65230000000.0,,308870000000.0,-23850000000,-28560000000.0
194170000000,-10980000000,-4960000000.0,-16920000000,-475730000,-17390000000,1880000000,2023-06-30,FWCT.JK,-10980000000,-6400000000,2350000000,502850000000.0,46890000000.0,285670000000.0,207900000000.0,217180000000.0,217160000000.0,124410000000.0,46890000000.0,,313650000000.0,-25700000000,-38970000000.0
281680000000,35680000000,-4400000000.0,32869999999,-588290000,32280000000,1880000000,2023-09-30,FWCT.JK,35680000000,40600000000,50930000000,508920000000.0,17410000000.0,263209999999.0,181250000000.0,245710000000.0,245690000000.0,114060000000.0,17410000000.0,,317130000000.0,5430000000,1110000000.0
297590000000,53770000000,-4240000000.0,49470000000,-10640000000,38830000000,1880000000,2023-12-31,FWCT.JK,53770000000,58820000000,70350000000,567320000000.0,58850000000.0,282830000000.0,200210000000.0,284490000000.0,284470000000.0,138530000000.0,58850000000.0,,332000000000.0,43030000000,30610000000.0
281510000000,30360000000,-4179999999.0,26920000000,-5960000000,20960000000,1880000000,2024-03-31,FWCT.JK,30360000000,35510000000,47960000000,608150000000.0,65319999999.0,302750000000.0,210590000000.0,305400000000.0,305380000000.0,127780000000.0,65319999999.0,,335790000000.0,5050000000,-4130000000.0
228070000000,-1560000000,-5020000000.0,-5390000000,1150000000,-4240000000,1880000000,2024-06-30,FWCT.JK,-1560000000,3670000000,16809999999,605700000000.0,11040000000.0,317720000000.0,224500000000.0,287980000000.0,287950000000.0,148530000000.0,11040000000.0,,337640000000.0,-63170000000,-67810000000.0
26500000000,11480000000,,12930000000,-1420000000,10450000000,1800000000,2022-12-31,RELI.JK,11480000000,13000000000,,729120000000.0,39290000000.0,132229999999.0,85240000.0,596890000000.0,596680000000.0,,439640000000,,,11220000000,10630000000.0
9540000000,11590000000,,11480000000,-937900000,10540000000,1800000000,2023-03-31,RELI.JK,11590000000,12840000000,,748700000000.0,78470000000.0,144150000000.0,37410000.0,604560000000.0,604350000000.0,,82970000000,,,753530000,-2320000000.0
21920000000,13650000000,,11210000000,284580000,11500000000,1800000000,2023-06-30,RELI.JK,13650000000,14880000000,,774810000000.0,57150000000.0,135870000000.0,0.0,638940000000.0,638740000000.0,,424050000000,,,-12190000000,-12630000000.0
16430000000,8180000000,,9730000000,-1410000000,8330000000,1800000000,2023-09-30,RELI.JK,8180000000,9460000000,,768030000000.0,108720000000.0,157960000000.0,494260000.0,610070000000.0,609870000000.0,,388430000000,,,-13890000000,-15580000000.0
20910000000,2060000000,,2170000000,3550000000,5730000000,1800000000,2023-12-31,RELI.JK,2060000000,3280000000,,758810000000.0,78280000000.0,128930000000.0,452570000.0,629880000000.0,629670000000.0,,406680000000,,,10460000000,10020000000.0
15150000000,17129999999,,18290000000,-2790000000,15510000000,1800000000,2024-03-31,RELI.JK,17129999999,18380000000,,787600000000.0,110040000000.0,144800000000.0,410250000.0,642800000000.0,642610000000.0,,412460000000,,,7040000000,6980000000.0
13310000000,5990000000,,7520000000,286720000,7810000000,1800000000,2024-06-30,RELI.JK,5990000000,7220000000,,794160000000.0,113100000000.0,179260000000.0,367300000.0,614900000000.0,614730000000.0,,418890000000,,,1090000000,1120000000.0
21980000000,-5120000000,-694670000.0,-6390000000,-955850000,-6390000000,650000000,2022-12-31,FOOD.JK,-5120000000,-4150000000,2830000000,102300000000.0,2350000000.0,60640000000.0,26490000000.0,41660000000.0,28190000000.0,49830000000,2350000000,,75050000000,-6970000000,-15470000000.0
18990000000,-3180000000,-785220000.0,-3840000000,787540,-2600000000,650000000,2023-03-31,FOOD.JK,-3180000000,-2130000000,4420000000,98890000000.0,631930000.0,61090000000.0,25590000000.0,37800000000.0,25580000000.0,50320000000,631930000,,74130000000,-842760000,-919760000.0
19080000000,-4850000000,-761120000.0,-2390000000,30340000,-1670000000,650000000,2023-06-30,FOOD.JK,-4850000000,-3810000000,2850000000,100980000000.0,3200000000.0,65540000000.0,25430000000.0,35440000000.0,23920000000.0,55360000000,3200000000,,73290000000,-3780000000,-3950000000.0
19700000000,-7650000000,-556400000.0,-3390000000,-16870000,-2400000000,650000000,2023-09-30,FOOD.JK,-7650000000,-6540000000,3020000000,63070000000.0,15260000000.0,31040000000.0,1230000000.0,32030000000.0,21510000000.0,26420000000,15260000000,,26380000000,-7730000000,-9490000000.0
19820000000,-10920000000,-88370000.0,-10910000000,133169999,-7510000000,650000000,2023-12-31,FOOD.JK,-10920000000,-9910000000,2210000000,50990000000.0,4110000000.0,29570000000.0,980090000.0,21430000000.0,14130000000.0,24650000000,4110000000,,26360000000,-9960000000,-10900000000.0
20750000000,-4970000000,-59100000.0,-4830000000,100920000,-3300000000,650000000,2024-03-31,FOOD.JK,-4970000000,-3990000000,2980000000,48860000000.0,2360000000.0,32159999999.0,762240000.0,16700000000.0,10830000000.0,27260000000,2360000000,,26340000000,-745960000,-1630000000.0
18280000000,-7450000000,-87210000.0,-7640000000,48500000,-5280000000,650000000,2024-06-30,FOOD.JK,-7450000000,-6460000000,1569999999,44790000000.0,578910000.0,35690000000.0,1810000000.0,9110000000.0,5550000000.0,30760000000,578910000,,25530000000,-2630000000,-2830000000.0
1030000000,54640000,-146180000.0,470910000,0,470910000,500000000,2022-09-30,KJEN.JK,54640000,317900000,649230000,67519999999.0,48160000.0,5270000000.0,3090000000.0,62250000000.0,62250000000.0,2060000000,48160000,,59770000000,1270000000,1270000000.0
2860000000,22620000,-124440000.0,-123810000,25180000,-98640000,500000000,2022-12-31,KJEN.JK,22620000,489790000,1350000000,68060000000.0,97860000.0,5810000000.0,3050000000.0,62250000000.0,62250000000.0,3260000000,97860000,,60080000000,-423160000,-427620000.0
2270000000,-47980000,-37290000.0,135060000,-46390000,88670000,500000000,2023-03-31,KJEN.JK,-47980000,269100000,706640000,68220000000.0,92280000.0,5850000000.0,3010000000.0,62370000000.0,62370000000.0,3350000000,92280000,,59740000000,-372500000,-408120000.0
1450000000,-469690000,-81050000.0,-165820000,33580000,-132240000,500000000,2023-06-30,KJEN.JK,-469690000,-149430000,525960000,67560000000.0,32590000.0,5290000000.0,2800000000.0,62260000000.0,62260000000.0,3010000000,32590000,,59390000000,-690850000,-748970000.0
1800000000,7370000,-30740000.0,220310000,-99390000,120920000,500000000,2023-09-30,KJEN.JK,7370000,327640000,659670000,67459999999.0,123090000.0,5050000000.0,2780000000.0,62410000000.0,62410000000.0,2530000000,123090000,,59390000000,-173330000,-137710000.0
2270000000,-125570000,-33490000.0,-77010000,22510000,-54500000,500000000,2023-12-31,KJEN.JK,-125570000,195470000,1530000000,66500000000.0,573730000.0,4230000000.0,2750000000.0,62270000000.0,62270000000.0,3270000000,573730000,,58640000000,2650000000,2570000000.0
1600000000,-7890000,-32000000.0,242400000,-88110000,154290000,500000000,2024-03-31,KJEN.JK,-7890000,310480000,630000000,66440000000.0,63480000.0,3980000000.0,2750000000.0,62460000000.0,62460000000.0,3010000000,63480000,,58270000000,-381570000,-416070000.0
176150000000,4350000000,-2310000000.0,-5280000000,-4210000000,-10240000000,1000000000,2022-12-31,CINT.JK,4350000000,11490000000,56380000000,492060000000.0,37880000000.0,152000000000.0,71290000000.0,340060000000.0,326610000000.0,132449999999,37880000000,,307190000000,46230000000,45330000000.0
