total_revenue,gross_income,operating_income,interest_expense_non_operating,pretax_income,income_taxes,net_income,diluted_shares_outstanding,ebitda,ebit,date,symbol,total_assets,cash_and_short_term_investments,cash_only,total_non_current_assets,total_liabilities,total_current_liabilities,total_equity,stockholders_equity,total_debt,total_cash_and_due_from_banks,net_operating_cash_flow,free_cash_flow
0,-77720000,-1880000000,-1180000.0,621150000,0,621150000,150000000.0,-1810000000.0,-1880000000,2022-12-31,JKSW.JK,159340000000.0,10140000000.0,10140000000.0,111360000000.0,653120000000.0,13930000000.0,-493770000000.0,-493770000000.0,638090000000.0,,-683290000.0,-683290000.0
0,-73700000,-2560000000,-674800.0,-80710000,0,-80710000,150000000.0,-2490000000.0,-2560000000,2023-03-31,JKSW.JK,157070000000.0,10070000000.0,10070000000.0,111080000000.0,650920000000.0,11730000000.0,-493850000000.0,-493850000000.0,638090000000.0,,-10380000.0,-73240000.0
0,-76850000,-3070000000,-634600.0,-403540000,0,-403540000,150000000.0,-2990000000.0,-3070000000,2023-06-30,JKSW.JK,164510000000.0,12960000000.0,12960000000.0,115760000000.0,658760000000.0,19580000000.0,-494260000000.0,-494260000000.0,638090000000.0,,2890000000.0,2890000000.0
0,-77010000,-3040000000,-1300000.0,-316250000,0,-316250000,150000000.0,-2969999999.0,-3040000000,2023-09-30,JKSW.JK,161110000000.0,6310000000.0,6310000000.0,120440000000.0,655690000000.0,16500000000.0,-494570000000.0,-494570000000.0,638090000000.0,,-6650000000.0,-6650000000.0
0,-77090000,-1960000000,-379500.0,716690000,0,716690000,150000000.0,-1880000000.0,-1960000000,2023-12-31,JKSW.JK,158540000000.0,6210000000.0,6210000000.0,120080000000.0,652420000000.0,13160000000.0,-493880000000.0,-493880000000.0,638090000000.0,,80300000.0,-103280000.0
0,-59780000,-3760000000,-738200.0,-1100000000,0,-1100000000,150000000.0,-3700000000.0,-3760000000,2024-03-31,JKSW.JK,154940000000.0,5560000000.0,5560000000.0,118480000000.0,649920000000.0,10660000000.0,-494980000000.0,-494980000000.0,638090000000.0,,-644160000.0,-644160000.0
0,-59780000,-3150000000,-957700.0,-212970000,0,-212970000,150000000.0,-3090000000.0,-3150000000,2024-06-30,JKSW.JK,164260000000.0,6050000000.0,6050000000.0,126340000000.0,659450000000.0,20190000000.0,-495190000000.0,-495190000000.0,638090000000.0,,485860000.0,485860000.0
44770000000,5130000000,2200000000,-75480000.0,1290000000,-501660000,789910000,2700000000.0,2550000000.0,2200000000,2022-12-31,NTBK.JK,153070000000.0,48050000000.0,48050000000.0,21170000000.0,61660000000.0,56130000000.0,91410000000.0,91410000000.0,10370000000.0,,25240000000.0,23860000000.0
32450000000,3500000000,1080000000,-83200000.0,1440000000,-419450000,1020000000,2700000000.0,1470000000.0,1080000000,2023-03-31,NTBK.JK,166300000000.0,40450000000.0,40450000000.0,22450000000.0,73870000000.0,68450000000.0,92430000000.0,92430000000.0,6280000000.0,,-2380000000.0,-4030000000.0
39660000000,4990000000,1900000000,-136870000.0,1880000000,-504430000,1380000000,2700000000.0,2340000000.0,1900000000,2023-06-30,NTBK.JK,174510000000.0,35130000000.0,35130000000.0,22670000000.0,81050000000.0,76160000000.0,93460000000.0,93460000000.0,6190000000.0,,-4250000000.0,-4890000000.0
33780000000,4800000000,1510000000,-103580000.0,1520000000,-403120000,1120000000,2700000000.0,1970000000.0,1510000000,2023-09-30,NTBK.JK,157560000000.0,31090000000.0,31090000000.0,22520000000.0,62990000000.0,58150000000.0,94570000000.0,94570000000.0,6090000000.0,,-3610000000.0,-3890000000.0
31760000000,3440000000,861600000,-61490000.0,874480000,-162350000,712130000,2700000000.0,1370000000.0,861600000,2023-12-31,NTBK.JK,143240000000.0,21770000000.0,21770000000.0,22030000000.0,48140000000.0,42870000000.0,95100000000.0,95100000000.0,11000000000.0,,-14130000000.0,-14210000000.0
